Sipm DAC Count, measurement
4000, 0.0
3992, 0.0
3984, 0.0
3976, 0.0
3968, 0.0
3960, 0.0
3952, 0.0
3944, 0.0
3936, 0.0
3928, 0.0
3920, 0.0
3912, 0.0
3904, 0.0
3896, 0.0
3888, 0.0
3880, 0.0
3872, 0.0
3864, 0.0
3856, 0.0
3848, 0.0
3840, 0.0
3832, 0.0
3824, 0.0
3816, 0.0
3808, 0.0
3800, 0.0
3792, 0.0
3784, 0.0
3776, 0.0
3768, 0.0
3760, 0.0
3752, 0.0
3744, 0.0
3736, 0.0
3728, 0.0
3720, 0.0
3712, 0.0
3704, 0.0
3696, 0.0
3688, 0.0
3680, 0.0
3672, 0.0
3664, 0.0
3656, 0.0
3648, 0.0
3640, 0.0
3632, 0.0
3624, 0.0
3616, 0.0
3608, 0.0
3600, 0.0
3592, 0.0
3584, 0.0
3576, 0.0
3568, 0.0
3560, 0.0
3552, 0.0
3544, 0.0
3536, 0.0
3528, 0.0
3520, 0.0
3512, 0.0
3504, 0.0
3496, 0.0
3488, 0.0
3480, 0.0
3472, 0.0
3464, 0.0
3456, 0.0
3448, 0.0
3440, 0.0
3432, 0.0
3424, 0.0
3416, 0.0
3408, 0.0
3400, 0.0
3392, 0.0
3384, 0.0
3376, 0.0
3368, 0.0
3360, 0.0
3352, 0.0
3344, 0.0
3336, 0.0
3328, 0.0
3320, 0.0
3312, 0.0
3304, 0.0
3296, 0.0
3288, 0.0
3280, 0.0
3272, 0.0
3264, 0.0
3256, 0.0
3248, 0.0
3240, 0.0
3232, 0.0
3224, 0.0
3216, 0.0
3208, 0.0
3200, 0.0
3192, 0.0
3184, 0.1562021439509954
3176, 0.9984709480122325
3168, 1.0
3160, 1.0
3152, 1.0
3144, 1.0
3136, 1.0
3128, 1.0535168195718654
3120, 2.0
3112, 2.0
3104, 2.0
3096, 2.018348623853211
3088, 3.0
3080, 3.0
3072, 3.0
3064, 4.0
3056, 4.0
3048, 4.001531393568147
3040, 5.0
3032, 5.0
3024, 5.302752293577981
3016, 6.0
3008, 6.0
3000, 7.0
2992, 7.0
2984, 7.9327217125382266
2976, 8.0
2968, 8.099388379204893
2960, 9.0
2952, 9.0
2944, 10.0
2936, 10.0
2928, 11.0
2920, 11.0
2912, 12.0
2904, 12.0
2896, 13.0
2888, 13.0
2880, 14.0
2872, 14.0
2864, 15.0
2856, 15.0
2848, 16.0
2840, 16.0
2832, 16.998468606431853
2824, 17.0
2816, 17.371559633027523
2808, 18.0
2800, 18.001529051987767
2792, 19.0
2784, 19.003058103975537
2776, 20.0
2768, 20.0
2760, 21.0
2752, 21.43730886850153
2744, 21.902140672782874
2736, 22.123853211009173
2728, 23.0
2720, 24.0
2712, 24.0
2704, 25.0
2696, 25.0
2688, 26.0
2680, 26.0
2672, 27.0
2664, 27.18529862174579
2656, 28.0
2648, 28.17737003058104
2640, 29.0
2632, 29.795107033639145
2624, 30.0
2616, 30.013740458015267
2608, 31.0
2600, 32.0
2592, 32.0
2584, 32.960244648318046
2576, 33.0
2568, 34.0
2560, 34.0
2552, 35.0
