Sipm DAC Count, measurement
4000, 0.0
3992, 0.0
3984, 0.0
3976, 0.0
3968, 0.0
3960, 0.0
3952, 0.0
3944, 0.0
3936, 0.0
3928, 0.0
3920, 0.0
3912, 0.0
3904, 0.0
3896, 0.0
3888, 0.0
3880, 0.0
3872, 0.0
3864, 0.0
3856, 0.0
3848, 0.0
3840, 0.0
3832, 0.0
3824, 0.0
3816, 0.0
3808, 0.0
3800, 0.0
3792, 0.0
3784, 0.0
3776, 0.0
3768, 0.0
3760, 0.0
3752, 0.0
3744, 0.0
3736, 0.0
3728, 0.0
3720, 0.0
3712, 0.0
3704, 0.0
3696, 0.0
3688, 0.0
3680, 0.0
3672, 0.0
3664, 0.0
3656, 0.0
3648, 0.0
3640, 0.0
3632, 0.0
3624, 0.0
3616, 0.0
3608, 0.0
3600, 0.0
3592, 0.0
3584, 0.0
3576, 0.0
3568, 0.0
3560, 0.0
3552, 0.0
3544, 0.0
3536, 0.0
3528, 0.0
3520, 0.0
3512, 0.0
3504, 0.0
3496, 0.0
3488, 0.0
3480, 0.0
3472, 0.0
3464, 0.0
3456, 0.0
3448, 0.0
3440, 0.0
3432, 0.0
3424, 0.0
3416, 0.0
3408, 0.0
3400, 0.0
3392, 0.0
3384, 0.0
3376, 0.0
3368, 0.0
3360, 0.0
3352, 0.0
3344, 0.0
3336, 0.0
3328, 0.0
3320, 0.0
3312, 0.0
3304, 0.0
3296, 0.0
3288, 0.0
3280, 0.0
3272, 0.0
3264, 0.0
3256, 0.0
3248, 0.0
3240, 0.0061162079510703364
3232, 0.5458715596330275
3224, 1.0
3216, 1.0
3208, 1.0
3200, 1.0
3192, 1.0
3184, 1.0
3176, 1.0
3168, 1.0
3160, 1.7206106870229008
3152, 2.0
3144, 2.0
3136, 2.0
3128, 2.0
3120, 3.0
3112, 3.0
3104, 4.0
3096, 4.0
3088, 4.0
3080, 4.304281345565749
3072, 5.0
3064, 5.0
3056, 6.0
3048, 6.585626911314985
3040, 4.948012232415902
3032, 4.314984709480123
3024, 7.0
3016, 7.995412844036697
3008, 8.0
3000, 8.0
2992, 9.0
2984, 9.0
2976, 10.0
2968, 10.029051987767584
2960, 11.0
2952, 11.0
2944, 12.0
2936, 12.001529051987768
2928, 13.0
2920, 13.003058103975535
2912, 14.0
2904, 14.108396946564886
2896, 15.0
2888, 15.54434250764526
2880, 16.0
2872, 17.0
2864, 17.0
2856, 18.0
2848, 18.0
2840, 19.0
2832, 19.0
2824, 20.0
2816, 20.06422018348624
2808, 21.0
2800, 21.960244648318042
2792, 22.0
2784, 23.0
2776, 23.0
2768, 24.0
2760, 24.0
2752, 25.0
2744, 25.19113149847095
2736, 26.0
2728, 27.0
2720, 27.0
2712, 28.0
2704, 28.0
2696, 29.0
2688, 29.33639143730887
2680, 30.0
2672, 31.0
2664, 31.983180428134556
2656, 33.984709480122326
2648, 33.74923547400611
2640, 34.0
2632, 35.0
2624, 35.666666666666664
2616, 36.0
2608, 37.0
2600, 37.24311926605505
2592, 39.230886850152906
2584, 43.99694189602447
2576, 44.408256880733944
2568, 45.0
2560, 46.0
2552, 45.964831804281346
