Timestamp, Measurement (uW)
1759344243, 26.650uW
1759344244, 26.643uW
1759344246, 26.633uW
1759344248, 26.634uW
1759344249, 26.641uW
1759344251, 26.643uW
1759344253, 26.644uW
1759344255, 26.647uW
1759344256, 26.646uW
1759344257, 26.645uW
1759344259, 26.636uW
1759344260, 26.625uW
1759344261, 26.607uW
1759344262, 26.607uW
1759344264, 26.596uW
1759344266, 26.580uW
1759344267, 26.560uW
1759344269, 26.557uW
1759344270, 26.560uW
1759344272, 26.558uW
1759344274, 26.561uW
1759344275, 26.538uW
1759344277, 26.528uW
1759344278, 26.521uW
1759344279, 26.504uW
1759344281, 26.495uW
1759344282, 26.505uW
1759344283, 26.511uW
1759344285, 26.521uW
1759344286, 26.548uW
1759344288, 26.566uW
1759344289, 26.597uW
1759344291, 26.607uW
1759344293, 26.622uW
1759344294, 26.622uW
1759344296, 26.612uW
1759344297, 26.601uW
1759344298, 26.584uW
1759344300, 26.572uW
1759344301, 26.568uW
1759344302, 26.576uW
1759344303, 26.572uW
1759344305, 26.569uW
1759344306, 26.574uW
1759344307, 26.564uW
1759344308, 26.562uW
1759344309, 26.551uW
1759344311, 26.552uW
1759344312, 26.562uW
1759344313, 26.568uW
1759344314, 26.564uW
1759344316, 26.559uW
1759344317, 26.562uW
1759344318, 26.554uW
1759344319, 26.557uW
1759344320, 26.558uW
1759344322, 26.561uW
1759344323, 26.552uW
1759344325, 26.565uW
1759344327, 26.554uW
1759344328, 26.553uW
1759344330, 26.555uW
1759344332, 26.562uW
1759344333, 26.562uW
1759344335, 26.562uW
1759344337, 26.550uW
1759344338, 26.530uW
1759344340, 26.511uW
1759344342, 26.509uW
1759344343, 26.502uW
1759344344, 26.498uW
1759344346, 26.483uW
1759344348, 26.483uW
1759344349, 26.487uW
1759344351, 26.483uW
1759344352, 26.479uW
1759344354, 26.479uW
1759344356, 26.488uW
1759344357, 26.478uW
1759344358, 26.478uW
1759344359, 26.479uW
1759344361, 26.477uW
1759344363, 26.454uW
1759344364, 26.446uW
1759344366, 26.444uW
1759344368, 26.458uW
1759344369, 26.458uW
1759344371, 26.452uW
1759344372, 26.446uW
1759344373, 26.434uW
1759344375, 26.431uW
1759344376, 26.415uW
1759344378, 26.399uW
1759344379, 26.388uW
1759344381, 26.369uW
1759344382, 26.372uW
1759344384, 26.362uW
1759344385, 26.345uW
1759344386, 26.330uW
1759344388, 26.326uW
1759344389, 26.313uW
1759344391, 26.323uW
1759344393, 26.309uW
1759344395, 26.320uW
1759344396, 26.316uW
1759344398, 26.326uW
1759344399, 26.335uW
1759344400, 26.344uW
1759344402, 26.358uW
1759344403, 26.382uW
1759344405, 26.390uW
1759344407, 26.391uW
1759344408, 26.398uW
1759344410, 26.402uW
1759344412, 26.422uW
1759344413, 26.438uW
1759344415, 26.450uW
1759344416, 26.460uW
1759344417, 26.465uW
1759344418, 26.471uW
1759344420, 26.491uW
1759344422, 26.501uW
1759344423, 26.493uW
1759344424, 26.506uW
1759344426, 26.516uW
1759344427, 26.526uW
1759344428, 26.545uW
1759344430, 26.547uW
1759344432, 26.544uW
1759344433, 26.542uW
1759344435, 26.541uW
1759344436, 26.538uW
1759344437, 26.535uW
1759344439, 26.525uW
1759344440, 26.508uW
1759344442, 26.501uW
1759344444, 26.470uW
1759344445, 26.487uW
1759344446, 26.499uW
1759344448, 26.494uW
1759344449, 26.514uW
1759344451, 26.517uW
1759344452, 26.530uW
1759344453, 26.541uW
1759344454, 26.555uW
1759344455, 26.557uW
1759344456, 26.554uW
1759344458, 26.558uW
1759344459, 26.563uW
1759344460, 26.567uW
1759344461, 26.561uW
1759344462, 26.570uW
1759344464, 26.569uW
1759344466, 26.582uW
1759344467, 26.598uW
1759344469, 26.588uW
1759344470, 26.590uW
1759344472, 26.589uW
1759344473, 26.588uW
1759344475, 26.598uW
1759344477, 26.594uW
1759344478, 26.600uW
1759344479, 26.599uW
1759344480, 26.603uW
1759344481, 26.606uW
1759344482, 26.600uW
1759344484, 26.586uW
1759344486, 26.579uW
1759344487, 26.566uW
1759344489, 26.551uW
1759344490, 26.539uW
1759344492, 26.539uW
1759344494, 26.539uW
1759344496, 26.528uW
1759344497, 26.516uW
1759344499, 26.504uW
1759344500, 26.486uW
1759344502, 26.476uW
1759344503, 26.462uW
1759344505, 26.454uW
1759344507, 26.436uW
1759344508, 26.425uW
1759344510, 26.410uW
1759344512, 26.389uW
1759344513, 26.384uW
1759344515, 26.391uW
1759344517, 26.390uW
1759344518, 26.380uW
1759344519, 26.379uW
1759344520, 26.363uW
1759344522, 26.357uW
1759344523, 26.351uW
1759344524, 26.353uW
1759344526, 26.344uW
1759344527, 26.336uW
1759344528, 26.330uW
1759344530, 26.320uW
1759344532, 26.301uW
1759344533, 26.288uW
1759344535, 26.274uW
1759344536, 26.261uW
1759344538, 26.258uW
1759344539, 26.261uW
1759344541, 26.254uW
1759344542, 26.244uW
1759344544, 26.239uW
1759344545, 26.227uW
1759344547, 26.221uW
1759344549, 26.202uW
1759344550, 26.196uW
1759344551, 26.183uW
1759344553, 26.176uW
1759344554, 26.170uW
1759344555, 26.168uW
1759344557, 26.156uW
1759344558, 26.160uW
1759344560, 26.149uW
1759344561, 26.154uW
1759344563, 26.155uW
1759344564, 26.150uW
1759344565, 26.146uW
1759344567, 26.123uW
1759344569, 26.128uW
1759344570, 26.127uW
1759344572, 26.124uW
1759344574, 26.124uW
1759344575, 26.105uW
1759344577, 26.098uW
1759344578, 26.093uW
1759344580, 26.090uW
1759344581, 26.095uW
1759344583, 26.093uW
1759344585, 26.084uW
1759344586, 26.080uW
1759344588, 26.088uW
1759344589, 26.102uW
1759344591, 26.096uW
1759344592, 26.090uW
1759344593, 26.086uW
1759344594, 26.081uW
1759344596, 26.073uW
1759344597, 26.068uW
1759344598, 26.069uW
1759344600, 26.063uW
1759344601, 26.065uW
1759344603, 26.068uW
1759344605, 26.061uW
1759344606, 26.061uW
1759344607, 26.049uW
1759344609, 26.044uW
1759344610, 26.050uW
1759344611, 26.048uW
1759344613, 26.038uW
1759344614, 26.036uW
1759344615, 26.034uW
1759344617, 26.024uW
1759344618, 26.037uW
1759344620, 26.053uW
1759344621, 26.059uW
1759344623, 26.070uW
1759344625, 26.094uW
1759344626, 26.108uW
1759344628, 26.109uW
1759344629, 26.124uW
1759344631, 26.124uW
1759344632, 26.129uW
1759344634, 26.140uW
1759344636, 26.149uW
1759344637, 26.171uW
1759344639, 26.185uW
1759344641, 26.196uW
1759344642, 26.209uW
1759344643, 26.219uW
1759344645, 26.227uW
1759344646, 26.236uW
1759344648, 26.227uW
1759344649, 26.233uW
1759344651, 26.235uW
1759344652, 26.243uW
